EmployeeID,FirstName,LastName,Gender,Age,Department,DistanceFromHome (KM),State,Ethnicity,EducationField,JobRole,MaritalStatus,Salary,OverTime,HireDate,Attrition,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,EducationLevel
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Very Satisfied,Satisfied,Satisfied,2,2,Excellent,Average,Below Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Very Satisfied,Dissatisfied,Neutral,1,0,Fair,Above Average,Above Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Neutral,Satisfied,Dissatisfied,3,0,Fair,Average,Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Satisfied,Dissatisfied,Neutral,3,0,Excellent,Average,Below Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Satisfied,Satisfied,Neutral,3,2,Very Good,Above Average,Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Satisfied,Very Satisfied,Neutral,3,0,Very Good,Above Average,Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Neutral,Satisfied,Neutral,1,0,Excellent,Above Average,Above Average,Masters 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Neutral,Very Satisfied,Neutral,3,0,Fair,Average,Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Satisfied,Very Satisfied,Very Satisfied,1,1,Excellent,Above Average,Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Satisfied,Neutral,Satisfied,3,1,Fair,Above Average,Above Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Neutral,Very Satisfied,Very Satisfied,1,2,Fair,High,High,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Satisfied,Satisfied,Neutral,3,2,Excellent,Average,Below Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Satisfied,Very Satisfied,Dissatisfied,3,2,Fair,High,Above Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Very Dissatisfied,Very Dissatisfied,Dissatisfied,1,1,Fair,Average,Average,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Very Satisfied,Satisfied,Neutral,1,1,Fair,High,High,Bachelors 
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,No,2012-01-05,No,10,10,0,Very Dissatisfied,Satisfied,Neutral,2,2,Good,Average,Average,Bachelors 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Satisfied,Neutral,Dissatisfied,1,0,Excellent,Average,Below Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Very Satisfied,Dissatisfied,Satisfied,2,1,Excellent,Above Average,Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Satisfied,Neutral,Very Satisfied,1,2,Very Good,Above Average,Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Satisfied,Neutral,Dissatisfied,1,1,Good,Above Average,Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Satisfied,Very Satisfied,Satisfied,3,0,Very Good,Above Average,Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Satisfied,Very Satisfied,Satisfied,2,3,Excellent,High,High,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Neutral,Satisfied,Very Satisfied,3,2,Excellent,Above Average,Above Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Neutral,Satisfied,Neutral,1,2,Excellent,Average,Below Average,High School 
42CC-040A,Stace,Savege,Female,29,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,No,2012-01-05,Yes,6,1,6,Very Satisfied,Dissatisfied,Very Satisfied,2,1,Good,Average,Below Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Satisfied,Dissatisfied,3,1,Excellent,Above Average,Above Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Very Satisfied,Very Satisfied,Dissatisfied,1,2,Very Good,High,Above Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Neutral,Satisfied,Dissatisfied,2,0,Good,High,High,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Satisfied,Satisfied,2,1,Fair,Average,Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Very Satisfied,Very Satisfied,Dissatisfied,2,2,Fair,Above Average,Above Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Very Satisfied,Satisfied,1,3,Excellent,High,Above Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Dissatisfied,Neutral,3,0,Good,Average,Below Average,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Dissatisfied,Satisfied,3,0,Fair,High,High,High School 
C219-6C2E,Clerkclaude,Hinkins,Male,34,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,No,2012-01-05,No,10,7,9,Satisfied,Neutral,Neutral,1,3,Very Good,Average,Below Average,High School 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Neutral,Neutral,Neutral,2,1,Good,High,Above Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Satisfied,Very Satisfied,Very Satisfied,3,2,Very Good,Above Average,Above Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Satisfied,Very Satisfied,Satisfied,3,2,Fair,Above Average,Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Very Satisfied,Neutral,Very Satisfied,3,0,Fair,Above Average,Above Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Neutral,Very Satisfied,Very Satisfied,1,1,Good,High,High,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Satisfied,Neutral,Very Satisfied,3,0,Very Good,High,High,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Satisfied,Very Satisfied,Satisfied,2,0,Very Good,High,Above Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Neutral,Very Satisfied,Neutral,3,3,Fair,High,Above Average,Bachelors 
D906-B674,Uta,Melmar,Female,42,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,No,2012-01-09,No,10,6,6,Neutral,Very Satisfied,Dissatisfied,3,2,Good,Above Average,Above Average,Bachelors 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Very Satisfied,Dissatisfied,Dissatisfied,2,3,Excellent,High,Above Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Very Satisfied,Very Satisfied,Neutral,3,1,Fair,Average,Below Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Very Satisfied,Dissatisfied,Satisfied,1,3,Good,Average,Below Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Neutral,Very Satisfied,Very Satisfied,3,2,Excellent,Average,Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Satisfied,Dissatisfied,Dissatisfied,3,3,Good,Average,Below Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Neutral,Neutral,Neutral,1,2,Good,High,Above Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Very Satisfied,Dissatisfied,Very Satisfied,2,3,Very Good,High,High,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Satisfied,Very Satisfied,Neutral,2,0,Excellent,Above Average,Above Average,High School 
3C7D-86ED,Joyan,Brason,Female,40,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,No,2012-01-11,No,10,4,6,Very Satisfied,Dissatisfied,Dissatisfied,3,2,Very Good,Above Average,Above Average,High School 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Satisfied,Dissatisfied,Neutral,2,0,Very Good,High,High,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Neutral,Dissatisfied,Neutral,3,1,Excellent,Average,Below Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Very Satisfied,Dissatisfied,Neutral,2,0,Excellent,Above Average,Above Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Very Satisfied,Satisfied,Dissatisfied,3,1,Good,Above Average,Above Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Satisfied,Very Satisfied,Very Satisfied,1,3,Very Good,Above Average,Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Satisfied,Very Satisfied,Dissatisfied,1,1,Excellent,Above Average,Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Neutral,Dissatisfied,Very Satisfied,3,2,Fair,Above Average,Above Average,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Neutral,Neutral,Dissatisfied,3,1,Good,High,High,Masters 
3D71-8DC2,Alix,Blazejewski,Male,38,Sales,20,IL,Black or African American,Marketing ,Sales Executive,Married,147098,No,2012-01-11,No,10,8,2,Satisfied,Satisfied,Satisfied,1,1,Good,Average,Average,Masters 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Neutral,Satisfied,Dissatisfied,2,0,Good,Average,Below Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Neutral,Very Satisfied,Neutral,2,1,Excellent,Average,Below Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Satisfied,Neutral,Very Satisfied,2,0,Excellent,Above Average,Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Neutral,Very Satisfied,Satisfied,2,2,Excellent,Average,Below Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Dissatisfied,Satisfied,Neutral,3,1,Poor,Average,Below Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Very Satisfied,Neutral,Very Satisfied,3,2,Good,High,High,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Very Satisfied,Dissatisfied,Dissatisfied,1,3,Fair,Average,Below Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Satisfied,Satisfied,Dissatisfied,2,1,Excellent,High,Above Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Very Satisfied,Satisfied,Neutral,1,2,Excellent,Average,Average,High School 
5476-CA0D,Kayley,Snoad,Female,31,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,No,2012-01-12,Yes,6,5,1,Neutral,Satisfied,Satisfied,2,1,Fair,High,Above Average,High School 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Neutral,Satisfied,Satisfied,2,1,Fair,Average,Average,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Satisfied,Very Satisfied,Satisfied,3,1,Fair,High,High,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Neutral,Very Satisfied,Satisfied,3,0,Good,Average,Below Average,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Satisfied,Very Satisfied,Dissatisfied,3,0,Good,High,Above Average,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Neutral,Neutral,Neutral,3,2,Good,Average,Below Average,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Very Dissatisfied,Neutral,Satisfied,2,1,Good,High,High,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Satisfied,Very Satisfied,Dissatisfied,1,1,Excellent,Above Average,Above Average,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Satisfied,Satisfied,Very Satisfied,1,1,Very Good,High,High,Masters 
73CF-4956,Hannis,Waslin,Female,32,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,No,2012-01-12,No,10,5,8,Very Satisfied,Satisfied,Very Satisfied,2,1,Excellent,Average,Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Neutral,Dissatisfied,Dissatisfied,1,2,Fair,High,High,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Neutral,Satisfied,Neutral,1,0,Good,Average,Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Neutral,Satisfied,Neutral,1,2,Fair,Above Average,Above Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Neutral,Satisfied,Very Satisfied,1,3,Very Good,High,High,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Satisfied,Satisfied,Neutral,1,2,Very Good,High,Above Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Satisfied,Satisfied,Satisfied,2,1,Fair,Average,Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Neutral,Neutral,Neutral,1,0,Excellent,Above Average,Above Average,Masters 
277A-A6FA,Annabela,Pablos,Female,35,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,No,2012-01-12,No,10,8,2,Satisfied,Neutral,Very Satisfied,2,1,Very Good,Average,Below Average,Masters 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Satisfied,Dissatisfied,Satisfied,3,1,Good,High,Above Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Very Satisfied,Satisfied,Neutral,3,0,Good,Average,Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Very Satisfied,Very Satisfied,Neutral,2,0,Excellent,High,Above Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Neutral,Satisfied,Satisfied,3,2,Good,High,Above Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Neutral,Dissatisfied,Dissatisfied,3,0,Fair,Average,Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Neutral,Dissatisfied,Satisfied,3,2,Good,Above Average,Above Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Neutral,Neutral,Dissatisfied,2,2,Good,Above Average,Average,Bachelors 
8BAB-B4A6,Torey,Abram,Male,38,Sales,35,NY,Asian or Asian American,Marketing ,Manager,Single,340229,Yes,2012-01-13,No,10,9,3,Very Satisfied,Very Satisfied,Dissatisfied,2,2,Very Good,Average,Below Average,Bachelors 
